,well,fov,centroid-0,centroid-1
2626,r05c18,4,191.5378421900161,9.784219001610309
2627,r05c18,4,204.77313974591647,905.9137931034484
2628,r05c18,4,209.0944881889764,545.2545931758531
2629,r05c18,4,214.86376811594204,988.775845410628
2630,r05c18,4,211.60254777070065,1065.3426751592356
2631,r05c18,4,231.28454619787408,679.2297628781685
2632,r05c18,4,260.1390186915888,729.8878504672897
2633,r05c18,4,258.86386898669394,981.1033776867964
2634,r05c18,4,299.2770034843206,620.3310104529617
2635,r05c18,4,324.3314732142857,586.0390625
2636,r05c18,4,329.7238979118329,112.72389791183296
2637,r05c18,4,359.21007502679527,133.30439442658093
2638,r05c18,4,390.3969410050983,41.97305171158048
2639,r05c18,4,380.468438538206,986.220376522702
2640,r05c18,4,386.5587364264561,1060.180651530109
2641,r05c18,4,403.9380165289256,113.68078512396694
2642,r05c18,4,407.53584905660375,182.8213836477988
2643,r05c18,4,406.5010917030568,341.9170305676856
2644,r05c18,4,406.7443693693694,941.5382882882884
2645,r05c18,4,414.3414405986904,1022.6566884939195
2646,r05c18,4,424.8344226579521,200.7952069716776
2647,r05c18,4,430.0643402399128,274.1057797164667
2648,r05c18,4,431.86296296296297,666.6259259259259
2649,r05c18,4,453.4294871794872,155.51923076923077
2650,r05c18,4,462.70389884088513,947.7081138040044
2651,r05c18,4,486.1968421052632,30.817894736842103
2652,r05c18,4,483.115712545676,264.77588306942755
2653,r05c18,4,487.55260243632335,982.0653377630122
2654,r05c18,4,489.0977995110025,229.06234718826408
2655,r05c18,4,489.93011216566,763.1294219154444
2656,r05c18,4,498.79274611398966,866.6852331606218
2657,r05c18,4,499.208922742111,934.683351468988
2658,r05c18,4,508.6314814814815,7.661111111111111
2659,r05c18,4,507.550736497545,519.0515548281505
2660,r05c18,4,507.46967741935487,830.6567741935484
2661,r05c18,4,522.3234567901235,974.5037037037036
2662,r05c18,4,537.0404964075767,691.2952318745918
2663,r05c18,4,535.7457777777778,914.5813333333332
2664,r05c18,4,532.1370786516854,320.1494382022472
2665,r05c18,4,549.0535455861071,14.531114327062228
2666,r05c18,4,549.8186226964112,261.07080504364694
2667,r05c18,4,557.9895931882687,58.31031220435194
2668,r05c18,4,559.9411231884058,776.1485507246376
2669,r05c18,4,568.5779914529915,197.1260683760684
2670,r05c18,4,569.5209580838323,993.2982035928144
2671,r05c18,4,575.592328278323,877.4611953612846
2672,r05c18,4,578.1805728518058,349.5965130759651
2673,r05c18,4,586.7087378640776,431.052427184466
2674,r05c18,4,595.859756097561,644.9369918699186
2675,r05c18,4,605.5438996579247,382.5165336374002
2676,r05c18,4,615.6586715867159,813.4538745387454
2677,r05c18,4,621.5320574162679,346.644019138756
2678,r05c18,4,614.2522935779816,3.885321100917431
2679,r05c18,4,617.46735395189,255.24398625429552
2680,r05c18,4,650.3181818181819,295.8580931263858
2681,r05c18,4,657.5869565217391,401.6608695652174
2682,r05c18,4,659.1890756302521,258.22899159663865
2683,r05c18,4,677.3159541188738,542.2054223149114
2684,r05c18,4,673.1810250817884,803.9836423118866
2685,r05c18,4,691.5497685185185,863.0763888888889
2686,r05c18,4,692.0,28.148445336008024
2687,r05c18,4,700.4643848288622,365.7095282146161
2688,r05c18,4,713.7202486678508,197.46802841918296
2689,r05c18,4,719.3905579399142,120.63862660944206
2690,r05c18,4,718.5071090047394,12.382306477093207
2691,r05c18,4,732.2241953385128,808.9112097669256
2692,r05c18,4,730.8670473083197,58.89804241435563
2693,r05c18,4,736.2752613240418,537.3850174216028
2694,r05c18,4,774.0373205741627,335.62105263157895
2695,r05c18,4,792.3681710213776,619.5550277117973
2696,r05c18,4,795.1975403535741,457.9869331283628
2697,r05c18,4,788.7753346080306,797.2715105162524
2698,r05c18,4,796.6696730552424,692.1443066516347
2699,r05c18,4,797.9768378650554,729.6223564954682
2700,r05c18,4,798.3216589861751,1052.7797235023045
2701,r05c18,4,826.375822368421,515.702302631579
2702,r05c18,4,835.5033492822967,1000.0344497607656
2703,r05c18,4,836.9574678536103,394.2868447082097
2704,r05c18,4,838.4580645161291,212.9268817204301
2705,r05c18,4,857.9039792387543,418.3036332179931
2706,r05c18,4,862.7743362831858,786.6256637168142
2707,r05c18,4,863.8239845261122,198.147001934236
2708,r05c18,4,864.8199152542373,223.239406779661
2709,r05c18,4,882.3232432432433,1054.2270270270271
2710,r05c18,4,887.075924075924,346.2127872127872
2711,r05c18,4,924.2611996962794,694.0782080485953
2712,r05c18,4,962.8434504792332,411.7867412140575
2713,r05c18,4,993.3470873786408,659.8689320388349
2714,r05c18,4,1013.9911764705882,815.6598039215686
2715,r05c18,4,1049.2119725220805,1051.127576054956
2716,r05c18,4,1060.2385620915034,864.7919389978214
2717,r05c18,4,1073.0505319148936,549.8297872340426
2718,r05c18,4,1074.6761133603238,250.48987854251013
2719,r05c18,3,38.13076278290025,831.7057837384745
2720,r05c18,3,52.476964769647694,897.4972899728997
